date_time,Cement Type,MDP,MDC,FFS,SDS,SDC,BED,MD,MIP1,FOP,FIP,MV,MV2,MV1,Feed,PSS,RP3,RP2,RP1,CP,WP,FCT,Blaine,Residue
2021-07-17 01:00:00,32.5,3379.4483854,185.13430562666665,884.5005555499998,865.9206611566666,191.03456844000002,63.684621533666665,56.95959125766665,-3.8104321480999994,-71.32832106733333,-61.28576739199999,3.9559996490666673,0.6950042803666666,1.1107079957000001,323.69774703666667,62.776614869999996,74.701360407,73.87723748133332,57.48557856233333,20.709725646333332,62.341181819333336,252.23703655333333,3810.0,15.3
2021-07-17 01:30:00,32.5,3505.942832433333,192.54505548,884.4966666666667,865.9174211299999,189.94986419999992,65.83674133566666,57.340027849666676,-3.7827962427333333,-71.69838888766665,-61.60802900700001,3.820723292800001,0.6839481263666666,1.0981151109,333.6964252933332,62.77760507133333,75.70827138266667,75.33059136333334,59.937358534999994,20.544169636333336,62.366644152666666,252.4019721,3317.0,17.9
2021-07-17 02:00:00,32.5,3415.3574215000017,187.22039155999997,884.49777778,865.92015489,190.25738170000002,65.31772461933333,56.78971628466666,-3.909146825933334,-71.46140792833333,-61.16152013533334,3.4925670068999994,0.6802413078999999,1.1003591351333335,332.58421668,62.777304488,77.19092166466666,77.53873342,60.665759480666665,20.839069052666673,62.025887267,252.3900246733333,3625.0,17.6
2021-07-17 03:30:00,32.5,3560.4606560666666,195.39008280333334,884.5105555566666,873.1277760166668,191.99294552666663,68.34183875866665,58.59666571500001,-3.5374621909666666,-71.75992271933335,-62.62128695633333,3.5654977665,0.6921622794000001,1.1114474333666668,359.1061432733333,63.304850188,66.17447686066664,63.275885841,47.898112013666655,21.622998340333332,60.56401891466667,251.48781672666664,3667.0,15.4
2021-07-17 05:30:00,32.5,3314.7769021999998,181.30763954333332,884.4972222266664,865.91499112,191.03240847,62.04861614033335,56.67062030033334,-3.7917603164666667,-71.20296248133334,-60.981164816333326,3.8625013496999987,0.6851987351999999,1.1076988180666665,313.93593316333335,62.77855991166666,72.10982898366667,71.36568550966669,54.94129892966667,20.988602177333338,62.55738023500001,252.25027341666666,3928.0,14.5
2021-07-17 14:00:00,42.5,3275.510844066667,179.9318108666667,869.4961111100002,850.9686391600003,192.02829181999996,66.09218579433335,54.183400707,-3.499333221366667,-69.42537229833333,-59.289652602,3.2638325275666658,0.7793834111333333,1.5875533093666663,339.6873170466668,61.692752955333326,73.26792865233332,73.82248458800001,53.94712995666666,21.343170433666668,66.00221840266666,263.9583591533334,3192.0,11.8
2021-07-17 14:30:00,42.5,3089.6508316999993,170.2297765033333,869.4983333366666,850.9733473133332,190.42567392999996,64.10146045766668,52.51329306,-3.9575545802333334,-68.92995717333334,-58.05084937033332,3.1648929485666675,0.7816627981999998,1.5806315594666664,336.45109603333333,61.69229324566666,75.96264892533331,75.68434782133332,57.36961708933334,21.115990499,67.05517564566667,263.92997358666673,3028.0,13.3
2021-07-17 15:00:00,42.5,3052.4147065333323,167.54726823666667,869.5016666733335,850.9733473033332,189.86891174,65.33572176566666,52.992137576333334,-3.6716277721333332,-68.99161327066668,-58.294769299666655,3.260175540033333,0.7866041534666667,1.5930701353666668,340.38863311666665,61.69155056766668,81.75485288733333,79.03722529099997,65.49070758333333,21.171956034333334,67.34022429933333,263.97607579000004,2972.0,12.0
2021-07-17 15:30:00,42.5,3045.1458781999995,167.64839673,872.9477777699999,850.9732966766667,189.49303130999996,65.43267455833332,53.70580764333333,-3.434013030933333,-69.46999691766669,-58.84101823366667,3.277986271966667,0.7802932375333332,1.5784132557,338.6851339500001,61.692134067000005,82.32488762666667,80.08020075466666,66.26940351733332,21.315496256000007,69.134566968,261.93869594333336,3125.0,12.9
2021-07-17 16:00:00,42.5,3026.710385333333,165.26019375333337,874.4977777766668,850.9717272933334,188.37685326000002,63.568510644999996,52.72583987799999,-3.8506035285666678,-69.36192619766668,-58.25903034633333,3.2060923234333334,0.7872021291999999,1.5827887795333335,324.0929753666667,61.69356633066666,82.18259255366665,79.49928594033332,64.91818086366665,21.261742706333326,69.566681769,251.96916700666668,3068.0,12.5
2021-07-17 16:30:00,32.56666666666667,2852.2393882,156.73360746999998,878.2894444500004,850.973499173333,186.53062202,63.68810508133333,52.57115885400001,-4.198893528533333,-69.56933602299999,-58.454132243000004,3.534666553533333,0.7879608534999998,1.5922053203666668,310.20915871666665,61.69146216966667,85.71609987099997,84.077424536,73.48059946733333,21.24965452633334,69.345519286,246.63647787000002,3068.0,14.8
2021-07-17 17:00:00,32.5,2871.7063353333333,157.31262473666672,884.5055555599997,850.9723854099999,187.43142055999996,64.30001064133334,52.89815681899998,-4.710624666999999,-70.23580234499998,-59.359793182333334,3.596578134533334,0.7850641983000001,1.5992492383333332,310.03106614,61.69206331699999,82.53211771733332,82.24440645033334,67.25669538700001,21.270333028,71.43118744766666,252.40131298333327,2862.0,14.7
2021-07-17 17:30:00,32.5,2898.0619467000006,159.31683105,884.4783333333332,850.9741066799999,187.05333386666663,64.12932726599999,53.02938018,-4.598873068766666,-70.16131561266666,-59.37852224933333,3.6303349366666664,0.7885491871666664,1.6033739995,309.68718854333326,61.691444471,85.19443111833333,83.27576321,71.53743379366665,21.04649647233333,73.17118625233334,252.41832465000005,3227.0,18.3
